stage,ep,reward,success,steps,total_steps,critic_loss,actor_loss
4,733,-106.11614246442332,2,467,813675,0.8147297425622347,20.565755762431046
4,734,44.34886067267507,1,143,813818,0.709376598363156,20.50971323960311
4,735,-29.399269722402096,2,54,813872,0.6722323949690219,21.039713382720947
4,736,-116.2966495975852,2,410,814282,0.8023807263955838,20.606026526195247
4,737,7.485202924814075,1,73,814355,0.7515769943799058,20.87407336822928
4,738,-272.5372392348945,2,1119,815474,0.8042759180761427,20.690095523087653
4,739,52.12487329659052,1,277,815751,0.8626976708212484,20.710927102539944
4,740,-171.44538708875916,2,442,816193,0.7651094192832844,20.662394260389235
4,741,-192.0994969829917,2,390,816583,0.7597178124464475,20.724096259092672
4,742,88.57898212969303,1,213,816796,0.8242707882128971,20.780456059415574
4,743,75.91865420108661,1,360,817156,0.755140995234251,20.393798200289407
4,744,-142.59085992595647,2,197,817353,0.91581122872188,20.574515807447096
4,745,74.90993896126747,1,157,817510,0.8139883771443822,20.575849484486184
4,746,27.346442208596272,1,500,818010,0.7960787331461906,20.512418878555298
4,747,73.75864415627439,1,368,818378,0.7979855965822935,20.417169283265654
4,748,-76.61833266931353,3,303,818681,0.7978277079539724,20.384780421115384
4,749,-369.07458874583244,2,1060,819741,0.8332112549048549,20.445948488307447
4,750,69.92487295111641,1,280,820021,0.800419297920806,20.3818142754691
4,751,-47.251483768224716,2,64,820085,0.7308862465433776,20.26103402674198
4,752,65.47237795591354,1,111,820196,0.6997442285756807,20.134469719620437
4,753,-50.217556446790695,2,48,820244,0.6528440024703741,20.451271653175354
4,754,-160.63916051387787,2,285,820529,0.7420461770735289,20.189069145604183
4,755,-25.26413375447737,1,283,820812,0.8426300785356191,20.5161214700436
4,756,61.956012083915994,1,287,821099,0.8157788802730082,20.403263932736493
4,757,82.73870040446491,1,491,821590,0.8123047317239758,20.237029223238135
4,758,78.17738199417363,1,608,822198,0.8338477314989033,20.289198277812254
4,759,-59.93323032557964,2,72,822270,0.878042860991425,20.392144587304855
4,760,77.70252794027328,1,122,822392,0.849732513799042,20.170537596843282
4,761,-82.11977460980415,2,120,822512,0.8954885348677635,19.9658642689387
4,762,86.2458579656959,1,400,822912,0.8088477112352848,20.32617880821228
4,763,50.97962310956791,1,504,823416,0.7802503241433038,20.270936935667006
4,764,104.73248017465812,1,351,823767,0.7587060224466514,20.02189919887445
4,765,-57.088339775800705,2,31,823798,0.8837722462992514,19.736336615777784
4,766,64.5113617181778,1,108,823906,0.763119792772664,20.38298002878825
4,767,-63.51859140396118,2,160,824066,0.8620464665815234,20.07670043706894
4,768,74.39707173407078,1,146,824212,0.8606637489714034,20.12693264713026
4,769,67.15403985313606,1,618,824830,0.790654004102386,20.167971435102444
4,770,72.02363220637199,1,485,825315,0.8234481033590652,20.24588023313542
4,771,-53.41264610737562,2,133,825448,0.8615536084748748,20.056140620009344
4,772,-43.939190725795925,2,191,825639,0.778348370684379,20.37975882984581
4,773,15.844110768288374,1,222,825861,0.8194956374061,20.162835683908547
4,774,127.67369618608791,1,417,826278,0.7500478533817996,20.159306201431676
4,775,109.94767912759562,1,382,826660,0.8003098513755499,20.18671211522287
4,776,-98.5406033641193,2,102,826762,0.8824014558511621,19.839729851367427
4,777,-70.51592118293047,2,192,826954,0.8352202447131276,19.908613835771877
4,778,56.19747139656748,1,271,827225,0.7921114986233165,20.015374841725254
4,779,-42.54796552658081,2,61,827286,0.7042271788003015,19.456372042171292
4,780,122.10107592493296,1,283,827569,0.8365520859143759,20.147951483305267
4,781,-125.01642264425755,2,277,827846,0.7981260613629103,19.82700024615126
